contract_id,tender_id,winning_vendor_id,contract_amount,contract_start_date,contract_end_date
CON0400,TEN0400,VEN0010,12940000,2022-08-25,2023-10-24
CON0401,TEN0401,VEN0036,9912000,2022-12-03,2023-08-30
CON0402,TEN0402,VEN0100,20683000,2023-03-18,2024-01-03
CON0403,TEN0403,VEN0088,10391000,2023-04-03,2023-10-21
CON0404,TEN0404,VEN0035,6385000,2021-05-07,2021-10-24
CON0405,TEN0405,VEN0111,7618000,2024-12-21,2025-09-10
CON0406,TEN0406,VEN0046,2707000,2023-11-18,2024-04-10
CON0407,TEN0407,VEN0023,25331000,2022-05-05,2023-08-10
CON0408,TEN0408,VEN0030,3988000,2023-10-03,2023-12-13
CON0409,TEN0409,VEN0097,8338000,2022-10-06,2023-05-14
CON0410,TEN0410,VEN0053,6366000,2021-09-30,2022-01-12
CON0411,TEN0411,VEN0009,8130000,2025-01-25,2026-01-17
CON0412,TEN0412,VEN0032,1389000,2022-06-29,2023-06-06
CON0413,TEN0413,VEN0081,610000,2021-05-19,2021-09-17
CON0414,TEN0414,VEN0051,1183000,2024-02-27,2024-05-19
CON0415,TEN0415,VEN0055,901000,2022-10-09,2022-12-09
CON0416,TEN0416,VEN0104,13578000,2023-06-30,2024-05-20
CON0417,TEN0417,VEN0075,1942000,2024-03-16,2024-05-18
CON0418,TEN0418,VEN0059,1365000,2025-01-23,2025-03-22
CON0419,TEN0419,VEN0088,10757000,2024-03-29,2024-06-18
CON0420,TEN0420,VEN0034,1420000,2022-07-15,2022-10-31
CON0421,TEN0421,VEN0053,7682000,2023-07-31,2024-03-25
CON0422,TEN0422,VEN0095,4410000,2022-07-16,2022-12-10
CON0423,TEN0423,VEN0064,821000,2021-03-01,2021-11-27
CON0424,TEN0424,VEN0013,1199000,2023-08-18,2023-11-27
CON0425,TEN0425,VEN0111,13209000,2022-03-25,2023-02-19
CON0426,TEN0426,VEN0111,2981000,2024-08-04,2025-05-25
CON0427,TEN0427,VEN0068,6002000,2024-11-15,2025-07-20
CON0428,TEN0428,VEN0107,1525000,2022-10-22,2022-12-26
CON0429,TEN0429,VEN0117,9458000,2023-10-22,2025-02-01
CON0430,TEN0430,VEN0120,29224000,2022-09-20,2023-08-07
CON0431,TEN0431,VEN0117,39403000,2021-12-28,2022-11-21
CON0432,TEN0432,VEN0052,17124000,2023-03-19,2025-01-04
CON0433,TEN0433,VEN0038,6579000,2022-06-29,2022-10-27
CON0434,TEN0434,VEN0059,1483000,2024-11-05,2025-02-07
CON0435,TEN0435,VEN0009,6894000,2021-11-12,2022-05-29
CON0436,TEN0436,VEN0080,411000,2021-05-04,2021-07-30
CON0437,TEN0437,VEN0103,1143000,2023-04-16,2023-07-23
CON0438,TEN0438,VEN0044,20207000,2024-04-08,2024-07-29
CON0439,TEN0439,VEN0116,3636000,2023-11-19,2024-03-18
CON0440,TEN0440,VEN0051,170000,2022-07-14,2022-08-15
CON0441,TEN0441,VEN0104,36539000,2021-07-13,2022-03-24
CON0442,TEN0442,VEN0090,482000,2021-06-17,2022-02-16
CON0443,TEN0443,VEN0066,2322000,2022-11-03,2023-03-12
CON0444,TEN0444,VEN0053,7222000,2021-06-29,2022-05-18
CON0445,TEN0445,VEN0056,21903000,2023-06-04,2024-11-23
CON0446,TEN0446,VEN0116,7397000,2022-04-04,2022-08-14
CON0447,TEN0447,VEN0096,10848000,2025-01-09,2025-10-13
CON0448,TEN0448,VEN0100,21859000,2024-12-19,2025-12-14
CON0449,TEN0449,VEN0076,1348000,2022-02-08,2022-05-10
CON0450,TEN0450,VEN0066,17418000,2024-09-04,2025-03-03
CON0451,TEN0451,VEN0061,5590000,2025-01-01,2025-05-15
CON0452,TEN0452,VEN0077,13511000,2023-01-04,2023-05-14
CON0453,TEN0453,VEN0072,3402000,2022-11-06,2023-09-30
CON0454,TEN0454,VEN0031,5644000,2021-05-23,2021-06-22
CON0455,TEN0455,VEN0078,5988000,2022-03-18,2022-12-14
CON0456,TEN0456,VEN0093,4320000,2024-02-14,2024-11-26
CON0457,TEN0457,VEN0100,38916000,2021-09-05,2022-03-28
CON0458,TEN0458,VEN0058,21079000,2022-11-14,2023-09-15
CON0459,TEN0459,VEN0114,9674000,2024-05-14,2024-10-25
CON0460,TEN0460,VEN0096,10624000,2023-07-29,2024-05-13
CON0461,TEN0461,VEN0084,4269000,2022-09-01,2023-02-19
CON0462,TEN0462,VEN0072,29033000,2024-04-28,2026-01-15
CON0463,TEN0463,VEN0059,2810000,2022-07-27,2022-09-08
CON0464,TEN0464,VEN0010,2063000,2021-06-22,2022-01-01
CON0465,TEN0465,VEN0109,4415000,2023-08-19,2023-09-21
CON0466,TEN0466,VEN0004,7453000,2021-06-12,2021-09-11
CON0467,TEN0467,VEN0038,1550000,2021-05-10,2022-02-28
CON0468,TEN0468,VEN0111,1210000,2022-06-04,2023-05-08
CON0469,TEN0469,VEN0060,1298000,2023-02-16,2023-04-27
CON0470,TEN0470,VEN0084,6749000,2024-06-28,2024-12-22
CON0471,TEN0471,VEN0027,1682000,2024-06-04,2024-09-16
CON0472,TEN0472,VEN0057,7197000,2024-05-14,2024-07-20
CON0473,TEN0473,VEN0077,11399000,2021-04-21,2021-10-31
CON0474,TEN0474,VEN0039,7344000,2025-01-08,2025-04-08
CON0475,TEN0475,VEN0015,1628000,2023-05-15,2023-08-23
CON0476,TEN0476,VEN0029,766000,2022-01-16,2022-07-13
CON0477,TEN0477,VEN0018,11672000,2021-03-20,2021-09-18
CON0478,TEN0478,VEN0111,11726000,2024-10-18,2025-07-02
CON0479,TEN0479,VEN0007,13092000,2021-03-12,2022-03-11
CON0480,TEN0480,VEN0095,1087000,2024-01-27,2025-01-26
CON0481,TEN0481,VEN0100,8882000,2021-08-01,2022-12-14
CON0482,TEN0482,VEN0100,4946000,2023-04-29,2025-01-12
CON0483,TEN0483,VEN0016,1507000,2024-10-26,2024-12-07
CON0484,TEN0484,VEN0112,141000,2024-11-23,2025-01-30
CON0485,TEN0485,VEN0016,1069000,2024-04-15,2024-07-10
CON0486,TEN0486,VEN0120,28420000,2024-01-08,2025-10-03
CON0487,TEN0487,VEN0034,6577000,2021-07-06,2021-11-08
CON0488,TEN0488,VEN0113,6912000,2023-06-05,2023-10-18
CON0489,TEN0489,VEN0020,1917000,2021-06-09,2021-10-26
CON0490,TEN0490,VEN0079,3647000,2024-05-24,2024-10-14
CON0491,TEN0491,VEN0084,5031000,2023-06-08,2024-01-15
CON0492,TEN0492,VEN0117,23045000,2022-03-22,2024-01-23
CON0493,TEN0493,VEN0105,638000,2021-06-29,2021-10-14
CON0494,TEN0494,VEN0075,252000,2023-12-30,2024-04-19
CON0495,TEN0495,VEN0036,49414000,2024-11-21,2026-04-16
CON0496,TEN0496,VEN0005,1310000,2025-02-15,2025-04-23
CON0497,TEN0497,VEN0065,1989000,2022-12-13,2023-01-21
CON0498,TEN0498,VEN0075,993000,2023-06-11,2023-08-09
CON0499,TEN0499,VEN0063,5815000,2022-04-23,2022-07-23
CON0500,TEN0500,VEN0066,7892000,2022-04-21,2022-08-09
