tender_id,department,tender_category,tender_title,estimated_value,tender_date,submission_deadline,contract_duration_days,procurement_method,location
TEN0217,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,632000,2021-05-25,2021-06-21,146,Limited Tender,Eastwood
TEN0218,IT & Digital Services,Consulting,Financial Audit Services - IT & Digital Services,5446000,2023-01-03,2023-02-16,118,Framework Agreement,Eastwood
TEN0219,IT & Digital Services,IT Services,Data Center Setup - IT & Digital Services,6498000,2022-03-10,2022-04-06,259,Open Tender,Clearwater
TEN0220,Education,Construction,Road Construction Project - Education,34109000,2023-05-13,2023-06-03,647,Single Vendor,Meridian City
TEN0221,Health,Office Supplies,Office Furniture Supply - Health,139000,2022-01-25,2022-03-24,119,Open Tender,Fairhaven
TEN0222,Health,IT Services,Software Development Services - Health,9939000,2023-06-23,2023-07-19,92,Limited Tender,Northgate
TEN0223,Transport,Office Supplies,Office Equipment Procurement - Transport,1401000,2024-12-28,2025-01-28,48,Limited Tender,Lakeside
TEN0224,Health,Consulting,Financial Audit Services - Health,6984000,2022-08-13,2022-10-09,267,Limited Tender,Northgate
TEN0225,Transport,Construction,Drainage System Upgrade - Transport,44301000,2022-09-09,2022-10-03,485,Open Tender,Eastwood
TEN0226,Education,IT Services,Software Development Services - Education,3021000,2021-04-07,2021-06-01,68,Open Tender,Rosedale
TEN0227,Health,Office Supplies,Stationery Supply - Health,693000,2022-08-25,2022-10-21,58,Open Tender,Northgate
TEN0228,Transport,Construction,Road Construction Project - Transport,44568000,2023-03-17,2023-05-11,441,Open Tender,Lakeside
TEN0229,Public Works,Consulting,Technical Consulting Services - Public Works,5006000,2021-06-17,2021-08-01,331,Limited Tender,Eastwood
TEN0230,IT & Digital Services,Consulting,Financial Audit Services - IT & Digital Services,1036000,2022-01-16,2022-03-09,52,Open Tender,Lakeside
TEN0231,Health,Consulting,Training and Capacity Building - Health,3578000,2024-09-01,2024-10-23,348,Limited Tender,Northgate
TEN0232,Transport,Office Supplies,Office Equipment Procurement - Transport,1409000,2024-11-22,2024-12-28,70,Limited Tender,Fairhaven
TEN0233,Education,Medical Supplies,Pharmaceutical Supply - Education,4801000,2024-10-13,2024-11-12,104,Open Tender,Brookfield
TEN0234,IT & Digital Services,IT Services,Software Development Services - IT & Digital Services,12286000,2024-03-09,2024-05-01,120,Single Vendor,Rosedale
TEN0235,Transport,Construction,Bridge Construction - Transport,24308000,2023-06-18,2023-07-11,414,Framework Agreement,Clearwater
TEN0236,Transport,Consulting,Training and Capacity Building - Transport,5690000,2021-06-14,2021-07-19,72,Open Tender,Meridian City
TEN0237,Education,Construction,Government Building Renovation - Education,38539000,2021-01-22,2021-03-08,221,Single Vendor,Northgate
TEN0238,Education,Consulting,Financial Audit Services - Education,3247000,2024-08-28,2024-10-15,155,Open Tender,Rosedale
TEN0239,Public Works,Office Supplies,Printer and Consumables Supply - Public Works,550000,2023-10-06,2023-10-25,72,Single Vendor,Meridian City
TEN0240,IT & Digital Services,Medical Supplies,Ambulance Procurement - IT & Digital Services,3612000,2021-10-30,2021-12-27,152,Open Tender,Brookfield
TEN0241,Education,Office Supplies,Stationery Supply - Education,903000,2024-06-02,2024-07-24,101,Limited Tender,Eastwood
TEN0242,Transport,Consulting,Training and Capacity Building - Transport,7984000,2023-06-07,2023-07-10,237,Open Tender,Meridian City
TEN0243,IT & Digital Services,Office Supplies,Office Equipment Procurement - IT & Digital Services,1460000,2023-06-11,2023-07-13,64,Open Tender,Clearwater
TEN0244,Education,Medical Supplies,Pharmaceutical Supply - Education,8471000,2023-08-22,2023-10-07,154,Open Tender,Rosedale
TEN0245,Public Works,IT Services,Data Center Setup - Public Works,2008000,2024-01-07,2024-02-28,225,Single Vendor,Clearwater
TEN0246,Transport,Medical Supplies,Pharmaceutical Supply - Transport,9730000,2022-05-26,2022-07-17,135,Open Tender,Northgate
TEN0247,Public Works,Construction,Drainage System Upgrade - Public Works,8661000,2021-05-09,2021-06-22,515,Framework Agreement,Meridian City
TEN0248,Transport,IT Services,Network Maintenance Services - Transport,2448000,2021-05-29,2021-06-28,99,Open Tender,Brookfield
TEN0249,Transport,Office Supplies,Office Furniture Supply - Transport,1048000,2021-06-25,2021-07-19,34,Single Vendor,Meridian City
TEN0250,Education,Office Supplies,Office Equipment Procurement - Education,1070000,2022-09-09,2022-10-30,117,Open Tender,Rosedale
TEN0251,Education,IT Services,Network Maintenance Services - Education,2072000,2022-04-18,2022-05-07,279,Open Tender,Meridian City
TEN0252,Education,Construction,Road Construction Project - Education,37092000,2021-07-18,2021-09-07,540,Open Tender,Clearwater
TEN0253,Public Works,IT Services,Data Center Setup - Public Works,8469000,2021-02-06,2021-04-06,98,Open Tender,Northgate
TEN0254,IT & Digital Services,Office Supplies,Office Equipment Procurement - IT & Digital Services,710000,2021-04-21,2021-06-10,102,Open Tender,Lakeside
TEN0255,Health,Construction,Bridge Construction - Health,43663000,2021-11-15,2022-01-04,190,Limited Tender,Meridian City
TEN0256,Education,Consulting,Training and Capacity Building - Education,6233000,2021-10-22,2021-11-21,224,Open Tender,Fairhaven
TEN0257,Public Works,Office Supplies,Office Equipment Procurement - Public Works,1855000,2022-11-16,2023-01-15,120,Single Vendor,Meridian City
TEN0258,Education,Construction,Road Construction Project - Education,11114000,2021-07-29,2021-08-28,268,Open Tender,Meridian City
TEN0259,IT & Digital Services,Office Supplies,Printer and Consumables Supply - IT & Digital Services,1830000,2024-07-14,2024-09-09,63,Framework Agreement,Meridian City
TEN0260,IT & Digital Services,IT Services,Software Development Services - IT & Digital Services,6726000,2021-11-18,2022-01-06,315,Framework Agreement,Fairhaven
TEN0261,Education,Construction,Road Construction Project - Education,14598000,2023-02-02,2023-02-17,512,Single Vendor,Lakeside
TEN0262,IT & Digital Services,IT Services,Network Maintenance Services - IT & Digital Services,2657000,2024-05-15,2024-07-03,171,Open Tender,Clearwater
TEN0263,Public Works,Office Supplies,Office Equipment Procurement - Public Works,144000,2021-07-31,2021-08-22,106,Open Tender,Clearwater
TEN0264,Transport,Construction,Bridge Construction - Transport,40702000,2021-09-07,2021-10-03,571,Open Tender,Brookfield
TEN0265,Transport,Construction,Drainage System Upgrade - Transport,44761000,2021-03-10,2021-04-29,194,Limited Tender,Lakeside
TEN0266,Education,IT Services,IT Infrastructure Upgrade - Education,6421000,2021-12-19,2022-01-29,190,Limited Tender,Meridian City
TEN0267,Education,Office Supplies,Office Furniture Supply - Education,1781000,2024-01-12,2024-02-04,51,Framework Agreement,Clearwater
TEN0268,Public Works,Medical Supplies,Ambulance Procurement - Public Works,6468000,2024-12-08,2025-01-06,92,Open Tender,Northgate
TEN0269,Education,Consulting,Financial Audit Services - Education,5419000,2021-12-20,2022-02-08,109,Open Tender,Rosedale
TEN0270,Public Works,Office Supplies,Stationery Supply - Public Works,886000,2024-06-06,2024-07-18,76,Open Tender,Lakeside
TEN0271,IT & Digital Services,Consulting,Financial Audit Services - IT & Digital Services,6201000,2024-02-24,2024-04-11,322,Framework Agreement,Fairhaven
TEN0272,Health,Consulting,Policy Advisory Services - Health,1973000,2021-10-15,2021-11-30,38,Framework Agreement,Northgate
TEN0273,Health,Consulting,Technical Consulting Services - Health,5078000,2022-04-23,2022-05-14,116,Single Vendor,Rosedale
TEN0274,Public Works,Medical Supplies,Hospital Consumables Supply - Public Works,359000,2022-06-01,2022-07-12,151,Limited Tender,Brookfield
TEN0275,Public Works,Office Supplies,Office Equipment Procurement - Public Works,758000,2023-11-07,2023-12-23,85,Open Tender,Fairhaven
TEN0276,IT & Digital Services,IT Services,Data Center Setup - IT & Digital Services,2970000,2022-10-26,2022-11-20,120,Open Tender,Fairhaven
TEN0277,Health,Consulting,Training and Capacity Building - Health,7298000,2023-07-15,2023-09-01,280,Open Tender,Clearwater
TEN0278,Health,Office Supplies,Office Equipment Procurement - Health,1730000,2023-04-11,2023-05-05,93,Open Tender,Rosedale
TEN0279,IT & Digital Services,Construction,Government Building Renovation - IT & Digital Services,26962000,2021-08-27,2021-09-24,474,Open Tender,Lakeside
TEN0280,Public Works,Construction,Drainage System Upgrade - Public Works,27977000,2024-04-12,2024-05-11,639,Open Tender,Rosedale
TEN0281,Public Works,Office Supplies,Stationery Supply - Public Works,1995000,2024-06-05,2024-07-21,97,Single Vendor,Fairhaven
TEN0282,Education,Office Supplies,Stationery Supply - Education,61000,2022-05-21,2022-06-17,94,Limited Tender,Meridian City
TEN0283,Public Works,Consulting,Training and Capacity Building - Public Works,3600000,2024-02-03,2024-02-20,185,Open Tender,Brookfield
TEN0284,Transport,IT Services,IT Infrastructure Upgrade - Transport,13456000,2023-06-25,2023-07-29,276,Open Tender,Meridian City
TEN0285,Public Works,IT Services,Data Center Setup - Public Works,13540000,2023-07-02,2023-07-26,295,Open Tender,Meridian City
TEN0286,Public Works,Consulting,Technical Consulting Services - Public Works,2313000,2024-05-24,2024-07-06,353,Framework Agreement,Northgate
TEN0287,IT & Digital Services,Consulting,Financial Audit Services - IT & Digital Services,5778000,2023-03-21,2023-05-03,89,Open Tender,Eastwood
TEN0288,Public Works,IT Services,Network Maintenance Services - Public Works,9809000,2022-06-20,2022-08-13,313,Open Tender,Brookfield
TEN0289,Education,Consulting,Training and Capacity Building - Education,4848000,2022-04-10,2022-05-24,241,Framework Agreement,Meridian City
TEN0290,IT & Digital Services,IT Services,IT Infrastructure Upgrade - IT & Digital Services,6927000,2022-10-06,2022-11-16,171,Framework Agreement,Meridian City
TEN0291,IT & Digital Services,Consulting,Policy Advisory Services - IT & Digital Services,1960000,2021-08-20,2021-10-02,196,Single Vendor,Meridian City
TEN0292,Transport,Consulting,Technical Consulting Services - Transport,5788000,2021-11-01,2021-11-19,191,Open Tender,Meridian City
TEN0293,IT & Digital Services,Office Supplies,Office Furniture Supply - IT & Digital Services,1096000,2023-08-30,2023-09-17,74,Limited Tender,Meridian City
TEN0294,IT & Digital Services,IT Services,Network Maintenance Services - IT & Digital Services,771000,2021-07-16,2021-09-08,61,Open Tender,Meridian City
TEN0295,Transport,Office Supplies,Office Equipment Procurement - Transport,1353000,2022-12-05,2023-01-31,37,Open Tender,Fairhaven
TEN0296,Health,Consulting,Financial Audit Services - Health,1589000,2021-12-14,2022-01-14,47,Open Tender,Northgate
TEN0297,Health,Consulting,Financial Audit Services - Health,3192000,2024-03-24,2024-05-22,183,Open Tender,Brookfield
TEN0298,IT & Digital Services,Construction,Government Building Renovation - IT & Digital Services,9780000,2023-08-20,2023-10-17,476,Limited Tender,Fairhaven
TEN0299,IT & Digital Services,Consulting,Policy Advisory Services - IT & Digital Services,6451000,2021-11-02,2021-12-27,289,Limited Tender,Northgate
TEN0300,Public Works,Consulting,Technical Consulting Services - Public Works,2314000,2022-01-02,2022-02-14,276,Open Tender,Brookfield
TEN0301,IT & Digital Services,IT Services,Software Development Services - IT & Digital Services,4613000,2022-01-17,2022-03-15,301,Open Tender,Meridian City
TEN0302,Transport,Consulting,Financial Audit Services - Transport,1412000,2023-09-02,2023-09-19,237,Single Vendor,Brookfield
TEN0303,Health,Office Supplies,Office Equipment Procurement - Health,985000,2021-02-15,2021-03-17,91,Open Tender,Meridian City
TEN0304,IT & Digital Services,Medical Supplies,Medical Equipment Supply - IT & Digital Services,2242000,2021-11-04,2021-11-22,107,Limited Tender,Lakeside
TEN0305,Public Works,Consulting,Training and Capacity Building - Public Works,5234000,2024-04-07,2024-04-22,114,Open Tender,Rosedale
TEN0306,Public Works,Consulting,Training and Capacity Building - Public Works,3811000,2024-03-14,2024-04-26,304,Open Tender,Meridian City
TEN0307,Transport,Construction,Government Building Renovation - Transport,29680000,2024-10-18,2024-11-13,715,Limited Tender,Northgate
TEN0308,Public Works,Consulting,Policy Advisory Services - Public Works,7736000,2023-09-04,2023-09-27,144,Framework Agreement,Eastwood
TEN0309,Transport,Office Supplies,Office Equipment Procurement - Transport,1406000,2022-09-07,2022-10-11,76,Limited Tender,Lakeside
TEN0310,Transport,Consulting,Training and Capacity Building - Transport,4530000,2024-07-01,2024-08-23,103,Framework Agreement,Meridian City
TEN0311,Education,Consulting,Technical Consulting Services - Education,6659000,2023-10-16,2023-11-29,299,Open Tender,Meridian City
TEN0312,Education,Construction,Government Building Renovation - Education,5876000,2023-11-05,2023-12-16,229,Open Tender,Eastwood
TEN0313,Health,Consulting,Financial Audit Services - Health,2432000,2023-09-19,2023-10-16,349,Open Tender,Meridian City
TEN0314,Education,Construction,Bridge Construction - Education,48484000,2024-10-09,2024-11-03,612,Limited Tender,Lakeside
TEN0315,IT & Digital Services,IT Services,Network Maintenance Services - IT & Digital Services,4383000,2021-07-06,2021-07-21,321,Open Tender,Northgate
TEN0316,Transport,Medical Supplies,Ambulance Procurement - Transport,3315000,2024-04-11,2024-05-20,172,Open Tender,Fairhaven
TEN0317,Transport,Office Supplies,Office Equipment Procurement - Transport,329000,2021-03-27,2021-05-12,52,Open Tender,Northgate
TEN0318,IT & Digital Services,Consulting,Policy Advisory Services - IT & Digital Services,1466000,2022-04-04,2022-05-07,91,Single Vendor,Meridian City
TEN0319,Transport,Consulting,Financial Audit Services - Transport,1060000,2023-12-01,2024-01-24,344,Single Vendor,Northgate
TEN0320,Transport,Medical Supplies,Hospital Consumables Supply - Transport,8776000,2022-07-04,2022-08-02,131,Open Tender,Meridian City
TEN0321,IT & Digital Services,Office Supplies,Office Equipment Procurement - IT & Digital Services,1253000,2022-04-22,2022-06-14,60,Open Tender,Eastwood
TEN0322,IT & Digital Services,Medical Supplies,Ambulance Procurement - IT & Digital Services,9679000,2024-01-30,2024-03-27,63,Limited Tender,Northgate
TEN0323,Health,Construction,Drainage System Upgrade - Health,20785000,2022-05-07,2022-06-22,408,Open Tender,Rosedale
TEN0324,IT & Digital Services,IT Services,Data Center Setup - IT & Digital Services,13774000,2023-01-18,2023-02-11,140,Open Tender,Eastwood
TEN0325,Public Works,Construction,Drainage System Upgrade - Public Works,23913000,2023-10-09,2023-12-08,280,Limited Tender,Clearwater
TEN0326,IT & Digital Services,Office Supplies,Office Furniture Supply - IT & Digital Services,490000,2024-11-19,2024-12-19,57,Single Vendor,Northgate
TEN0327,Public Works,Consulting,Financial Audit Services - Public Works,6154000,2023-06-17,2023-08-16,248,Single Vendor,Meridian City
TEN0328,Health,Consulting,Training and Capacity Building - Health,4476000,2022-08-22,2022-09-14,196,Open Tender,Eastwood
TEN0329,Transport,IT Services,Network Maintenance Services - Transport,14368000,2022-12-07,2023-01-23,184,Framework Agreement,Northgate
TEN0330,Health,Consulting,Financial Audit Services - Health,3885000,2022-02-16,2022-04-16,61,Open Tender,Brookfield
TEN0331,Health,Construction,Road Construction Project - Health,8307000,2022-09-28,2022-10-30,294,Limited Tender,Brookfield
TEN0332,IT & Digital Services,Construction,Drainage System Upgrade - IT & Digital Services,5887000,2023-12-13,2024-01-17,647,Framework Agreement,Meridian City
TEN0333,IT & Digital Services,Office Supplies,Office Furniture Supply - IT & Digital Services,275000,2024-04-20,2024-06-10,110,Single Vendor,Meridian City
TEN0334,Health,IT Services,IT Infrastructure Upgrade - Health,9629000,2024-05-17,2024-06-22,161,Open Tender,Clearwater
TEN0335,Health,IT Services,IT Infrastructure Upgrade - Health,10790000,2021-10-12,2021-11-19,255,Open Tender,Clearwater
TEN0336,IT & Digital Services,Construction,Government Building Renovation - IT & Digital Services,45015000,2021-06-03,2021-07-19,628,Open Tender,Clearwater
TEN0337,Transport,Construction,Bridge Construction - Transport,33990000,2024-02-16,2024-04-12,368,Open Tender,Fairhaven
TEN0338,Health,IT Services,Data Center Setup - Health,8285000,2021-09-21,2021-11-18,345,Open Tender,Fairhaven
TEN0339,Public Works,Office Supplies,Stationery Supply - Public Works,1667000,2021-09-30,2021-10-29,30,Open Tender,Meridian City
TEN0340,Public Works,Construction,Bridge Construction - Public Works,16078000,2021-10-26,2021-12-03,509,Open Tender,Meridian City
TEN0341,Public Works,Consulting,Financial Audit Services - Public Works,5578000,2023-06-26,2023-07-22,214,Open Tender,Meridian City
TEN0342,Education,Construction,Drainage System Upgrade - Education,5551000,2022-03-01,2022-04-15,604,Open Tender,Meridian City
TEN0343,IT & Digital Services,Consulting,Technical Consulting Services - IT & Digital Services,3517000,2022-01-31,2022-02-15,304,Framework Agreement,Meridian City
TEN0344,Health,Office Supplies,Office Furniture Supply - Health,1598000,2023-10-16,2023-12-15,43,Open Tender,Northgate
TEN0345,Health,Medical Supplies,Medical Equipment Supply - Health,590000,2024-09-17,2024-10-11,113,Open Tender,Brookfield
TEN0346,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,11900000,2023-09-26,2023-11-14,185,Framework Agreement,Rosedale
TEN0347,Transport,Consulting,Policy Advisory Services - Transport,6026000,2024-02-18,2024-03-10,179,Open Tender,Lakeside
TEN0348,IT & Digital Services,IT Services,IT Infrastructure Upgrade - IT & Digital Services,14142000,2021-12-04,2022-02-01,85,Limited Tender,Brookfield
TEN0349,Public Works,Construction,Bridge Construction - Public Works,45511000,2024-06-27,2024-08-13,628,Single Vendor,Fairhaven
TEN0350,Health,Office Supplies,Printer and Consumables Supply - Health,191000,2023-11-25,2023-12-17,49,Open Tender,Northgate
TEN0351,Health,Consulting,Training and Capacity Building - Health,4149000,2021-07-06,2021-08-29,111,Open Tender,Meridian City
TEN0352,Public Works,Medical Supplies,Pharmaceutical Supply - Public Works,2235000,2024-12-17,2025-01-22,147,Limited Tender,Lakeside
TEN0353,Health,Office Supplies,Printer and Consumables Supply - Health,1705000,2021-02-17,2021-03-16,108,Open Tender,Eastwood
TEN0354,Health,IT Services,Network Maintenance Services - Health,14617000,2021-12-01,2021-12-16,143,Open Tender,Meridian City
TEN0355,Education,Consulting,Financial Audit Services - Education,2773000,2023-10-02,2023-11-23,110,Framework Agreement,Fairhaven
TEN0356,Public Works,Construction,Government Building Renovation - Public Works,18391000,2024-07-04,2024-08-24,499,Open Tender,Rosedale
TEN0357,IT & Digital Services,Office Supplies,Printer and Consumables Supply - IT & Digital Services,1496000,2024-07-19,2024-09-02,45,Single Vendor,Clearwater
TEN0358,Education,Construction,Government Building Renovation - Education,18185000,2021-09-13,2021-10-21,728,Open Tender,Fairhaven
TEN0359,Transport,IT Services,Data Center Setup - Transport,1112000,2021-03-10,2021-05-09,285,Open Tender,Eastwood
TEN0360,Transport,Consulting,Policy Advisory Services - Transport,1192000,2024-06-25,2024-07-10,347,Framework Agreement,Rosedale
TEN0361,Public Works,Consulting,Financial Audit Services - Public Works,4531000,2023-07-31,2023-09-19,278,Open Tender,Clearwater
TEN0362,Transport,Medical Supplies,Pharmaceutical Supply - Transport,3635000,2024-06-03,2024-07-31,79,Open Tender,Eastwood
TEN0363,Public Works,Medical Supplies,Hospital Consumables Supply - Public Works,4426000,2021-09-08,2021-10-22,92,Open Tender,Clearwater
TEN0364,Health,Medical Supplies,Hospital Consumables Supply - Health,8895000,2024-07-22,2024-08-26,169,Open Tender,Northgate
TEN0365,IT & Digital Services,Medical Supplies,Ambulance Procurement - IT & Digital Services,866000,2023-09-22,2023-10-31,38,Open Tender,Northgate
TEN0366,Transport,Medical Supplies,Pharmaceutical Supply - Transport,2264000,2022-07-04,2022-08-17,148,Single Vendor,Rosedale
TEN0367,IT & Digital Services,Medical Supplies,Pharmaceutical Supply - IT & Digital Services,7541000,2023-08-22,2023-10-20,170,Open Tender,Lakeside
TEN0368,Education,Office Supplies,Stationery Supply - Education,1509000,2021-04-14,2021-06-13,64,Open Tender,Brookfield
TEN0369,Transport,Medical Supplies,Ambulance Procurement - Transport,6695000,2022-02-23,2022-04-08,87,Framework Agreement,Clearwater
TEN0370,Public Works,Consulting,Financial Audit Services - Public Works,5443000,2023-02-09,2023-03-21,309,Framework Agreement,Lakeside
TEN0371,Health,Consulting,Training and Capacity Building - Health,1436000,2023-09-26,2023-11-18,90,Single Vendor,Fairhaven
TEN0372,Education,IT Services,Data Center Setup - Education,14318000,2024-07-15,2024-09-08,170,Open Tender,Lakeside
TEN0373,IT & Digital Services,Consulting,Policy Advisory Services - IT & Digital Services,5757000,2023-07-27,2023-09-07,342,Open Tender,Northgate
TEN0374,Public Works,Construction,Bridge Construction - Public Works,4092000,2022-06-26,2022-08-22,526,Open Tender,Eastwood
TEN0375,Health,Consulting,Technical Consulting Services - Health,7863000,2022-10-14,2022-12-07,242,Single Vendor,Brookfield
TEN0376,Public Works,Medical Supplies,Medical Equipment Supply - Public Works,4639000,2021-04-02,2021-05-06,45,Open Tender,Eastwood
TEN0377,Education,IT Services,Software Development Services - Education,9087000,2023-11-23,2024-01-05,81,Open Tender,Brookfield
TEN0378,Public Works,Office Supplies,Printer and Consumables Supply - Public Works,695000,2021-09-05,2021-10-15,90,Limited Tender,Lakeside
TEN0379,Education,IT Services,Software Development Services - Education,2062000,2024-10-20,2024-12-04,196,Open Tender,Fairhaven
TEN0380,Health,Medical Supplies,Medical Equipment Supply - Health,2123000,2024-06-21,2024-07-20,38,Single Vendor,Lakeside
TEN0381,Education,Office Supplies,Office Equipment Procurement - Education,1145000,2023-11-13,2023-12-04,74,Open Tender,Eastwood
TEN0382,Health,IT Services,Software Development Services - Health,10360000,2023-11-01,2023-11-23,237,Limited Tender,Rosedale
TEN0383,IT & Digital Services,Construction,Road Construction Project - IT & Digital Services,39112000,2024-02-25,2024-04-11,455,Open Tender,Fairhaven
TEN0384,Education,Medical Supplies,Hospital Consumables Supply - Education,4458000,2022-06-14,2022-08-03,171,Open Tender,Northgate
TEN0385,Health,Office Supplies,Office Equipment Procurement - Health,1542000,2022-05-03,2022-06-19,56,Framework Agreement,Eastwood
TEN0386,IT & Digital Services,Office Supplies,Office Furniture Supply - IT & Digital Services,814000,2022-04-26,2022-06-21,32,Open Tender,Northgate
TEN0387,Health,Construction,Government Building Renovation - Health,10160000,2023-12-17,2024-01-09,498,Open Tender,Clearwater
TEN0388,Education,Medical Supplies,Medical Equipment Supply - Education,4510000,2021-05-10,2021-07-02,140,Open Tender,Meridian City
TEN0389,Transport,Consulting,Technical Consulting Services - Transport,6760000,2024-09-29,2024-10-23,119,Open Tender,Rosedale
TEN0390,IT & Digital Services,Consulting,Technical Consulting Services - IT & Digital Services,2337000,2022-05-28,2022-07-26,224,Open Tender,Meridian City
TEN0391,IT & Digital Services,Office Supplies,Printer and Consumables Supply - IT & Digital Services,119000,2021-05-10,2021-06-15,65,Limited Tender,Eastwood
TEN0392,IT & Digital Services,Medical Supplies,Ambulance Procurement - IT & Digital Services,6960000,2022-01-10,2022-02-22,100,Limited Tender,Meridian City
TEN0393,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,14782000,2024-06-14,2024-08-08,134,Open Tender,Northgate
TEN0394,Education,Medical Supplies,Ambulance Procurement - Education,9732000,2023-06-10,2023-07-25,122,Framework Agreement,Lakeside
TEN0395,Transport,Office Supplies,Office Equipment Procurement - Transport,1851000,2021-02-24,2021-03-11,113,Open Tender,Northgate
TEN0396,Public Works,Construction,Road Construction Project - Public Works,3013000,2021-06-30,2021-08-20,644,Open Tender,Lakeside
TEN0397,Transport,Construction,Government Building Renovation - Transport,7757000,2021-10-06,2021-10-25,234,Limited Tender,Brookfield
TEN0398,Public Works,Medical Supplies,Ambulance Procurement - Public Works,7192000,2022-11-25,2023-01-03,129,Open Tender,Meridian City
TEN0399,Transport,Consulting,Financial Audit Services - Transport,7653000,2023-09-13,2023-10-24,205,Open Tender,Clearwater
TEN0400,IT & Digital Services,Construction,Road Construction Project - IT & Digital Services,17253000,2022-07-23,2022-08-07,425,Limited Tender,Eastwood
TEN0401,Transport,Construction,Government Building Renovation - Transport,12955000,2022-10-06,2022-11-13,270,Open Tender,Clearwater
TEN0402,Transport,Construction,Road Construction Project - Transport,24061000,2023-01-09,2023-03-07,291,Single Vendor,Northgate
TEN0403,Health,IT Services,Data Center Setup - Health,13855000,2023-01-28,2023-03-20,201,Framework Agreement,Lakeside
TEN0404,Education,Consulting,Technical Consulting Services - Education,7051000,2021-02-28,2021-04-12,170,Open Tender,Northgate
TEN0405,Transport,IT Services,Software Development Services - Transport,7621000,2024-10-31,2024-11-28,263,Open Tender,Meridian City
TEN0406,Transport,Consulting,Technical Consulting Services - Transport,2695000,2023-09-28,2023-11-06,144,Open Tender,Rosedale
TEN0407,Public Works,Construction,Bridge Construction - Public Works,28879000,2022-03-24,2022-04-11,462,Framework Agreement,Clearwater
TEN0408,Public Works,Medical Supplies,Hospital Consumables Supply - Public Works,5052000,2023-07-26,2023-09-08,71,Single Vendor,Lakeside
TEN0409,IT & Digital Services,IT Services,Network Maintenance Services - IT & Digital Services,11117000,2022-08-21,2022-09-28,220,Limited Tender,Northgate
TEN0410,IT & Digital Services,IT Services,Network Maintenance Services - IT & Digital Services,6544000,2021-08-31,2021-09-19,104,Single Vendor,Meridian City
TEN0411,Health,IT Services,Data Center Setup - Health,10188000,2024-11-11,2025-01-06,357,Open Tender,Eastwood
TEN0412,Transport,IT Services,Software Development Services - Transport,1545000,2022-05-03,2022-06-01,342,Limited Tender,Brookfield
TEN0413,Health,Consulting,Training and Capacity Building - Health,813000,2021-02-24,2021-04-25,121,Open Tender,Eastwood
TEN0414,Education,Office Supplies,Stationery Supply - Education,1358000,2024-01-27,2024-02-18,82,Open Tender,Lakeside
TEN0415,Education,Medical Supplies,Hospital Consumables Supply - Education,1089000,2022-08-11,2022-09-26,61,Open Tender,Rosedale
TEN0416,Transport,Construction,Road Construction Project - Transport,14536000,2023-05-03,2023-06-08,325,Open Tender,Meridian City
TEN0417,Transport,Office Supplies,Office Furniture Supply - Transport,1835000,2024-02-15,2024-03-07,63,Open Tender,Northgate
TEN0418,Education,Office Supplies,Printer and Consumables Supply - Education,1504000,2024-11-17,2025-01-05,58,Open Tender,Meridian City
TEN0419,Transport,IT Services,IT Infrastructure Upgrade - Transport,11480000,2024-01-18,2024-03-11,81,Open Tender,Northgate
TEN0420,Education,Medical Supplies,Hospital Consumables Supply - Education,1690000,2022-06-18,2022-07-04,108,Single Vendor,Northgate
TEN0421,Public Works,IT Services,Data Center Setup - Public Works,9822000,2023-05-13,2023-07-04,238,Limited Tender,Meridian City
TEN0422,Education,Consulting,Financial Audit Services - Education,4387000,2022-05-21,2022-07-04,147,Open Tender,Eastwood
TEN0423,Public Works,Consulting,Policy Advisory Services - Public Works,977000,2021-01-17,2021-02-13,271,Limited Tender,Clearwater
TEN0424,Public Works,Office Supplies,Office Equipment Procurement - Public Works,1452000,2023-07-10,2023-07-28,101,Open Tender,Northgate
TEN0425,Public Works,IT Services,Network Maintenance Services - Public Works,13593000,2022-02-24,2022-03-11,331,Open Tender,Eastwood
TEN0426,Transport,IT Services,Software Development Services - Transport,3450000,2024-05-16,2024-07-13,294,Open Tender,Fairhaven
TEN0427,Transport,IT Services,Network Maintenance Services - Transport,7884000,2024-10-14,2024-11-07,247,Limited Tender,Eastwood
TEN0428,IT & Digital Services,Office Supplies,Office Equipment Procurement - IT & Digital Services,1901000,2022-08-31,2022-09-29,65,Open Tender,Brookfield
TEN0429,Health,Construction,Road Construction Project - Health,10089000,2023-09-14,2023-10-03,468,Framework Agreement,Northgate
TEN0430,Education,Construction,Drainage System Upgrade - Education,32791000,2022-07-15,2022-08-25,321,Limited Tender,Fairhaven
TEN0431,Health,Construction,Government Building Renovation - Health,47009000,2021-11-21,2021-12-11,328,Limited Tender,Meridian City
TEN0432,Public Works,Construction,Government Building Renovation - Public Works,22000000,2023-01-28,2023-02-19,657,Framework Agreement,Rosedale
TEN0433,Public Works,Consulting,Technical Consulting Services - Public Works,7981000,2022-05-24,2022-06-22,120,Open Tender,Lakeside
TEN0434,Transport,Office Supplies,Office Equipment Procurement - Transport,1851000,2024-09-10,2024-10-06,94,Open Tender,Northgate
